17:24:02.389 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA OutPet Field{hasExplain=false, explain='null', fieldType='int32', name='level', baseField=true, list=false, capacity=16}
17:24:02.390 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerSimple Field{hasExplain=false, explain='null', fieldType='int64', name='id', baseField=true, list=false, capacity=16}
17:24:02.390 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerSimple Field{hasExplain=false, explain='null', fieldType='string', name='name', baseField=true, list=false, capacity=16}
17:24:02.390 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerSimple Field{hasExplain=false, explain='null', fieldType='string', name='head', baseField=true, list=false, capacity=16}
17:24:02.390 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerSimple Field{hasExplain=true, explain='内功等级', fieldType='int32', name='level', baseField=true, list=false, capacity=16}
17:24:02.390 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Player Field{hasExplain=false, explain='null', fieldType='int64', name='id', baseField=true, list=false, capacity=16}
17:24:02.390 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Player Field{hasExplain=false, explain='null', fieldType='string', name='name', baseField=true, list=false, capacity=16}
17:24:02.390 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Player Field{hasExplain=false, explain='null', fieldType='string', name='head', baseField=true, list=false, capacity=16}
17:24:02.390 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Player Field{hasExplain=true, explain='性别', fieldType='int8', name='sex', baseField=true, list=false, capacity=16}
17:24:02.391 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Player Field{hasExplain=false, explain='null', fieldType='int64', name='createTime', baseField=true, list=false, capacity=16}
17:24:02.391 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Player Field{hasExplain=false, explain='null', fieldType='int32', name='vipLevel', baseField=true, list=false, capacity=16}
17:24:02.391 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Player Field{hasExplain=true, explain='内功等级', fieldType='int32', name='innerLevel', baseField=true, list=false, capacity=16}
17:24:02.391 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA Player Field{hasExplain=true, explain='等级', fieldType='int32', name='level', baseField=true, list=false, capacity=16}
